tag_name,doc_name,pnum,query_granularity,corpus_granularity,n_tagged,n_shared_best,noise_best,l2_distance,n_grid_points
CI Definition Includes Discussion Existence,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,32,paragraph,chunk,52,7,0.1,3.3104997647428367,16
CI Definition Includes Discussion Existence,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,32,paragraph,paragraph,11,10,0.2,0.8118884202283859,3
CI Definition Includes Discussion Existence,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,32,paragraph,sentence,11,2,0.2,0.8089613924808998,3
CI Definition Includes Discussion Existence,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,32,sentence,chunk,52,8,0.2,2.260286553675297,10
CI Definition Includes Discussion Existence,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,32,sentence,paragraph,11,10,0.2,1.081620919380869,4
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital - Executed.pdf,6,paragraph,chunk,34,7,0.1,2.2339493835035187,14
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital - Executed.pdf,6,sentence,chunk,34,7,0.1,2.6860142638334734,15
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital - Executed.pdf,6,sentence,paragraph,9,4,0.05,3.3686910070959613,4
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital - Executed.pdf,6,sentence,sentence,9,4,0.05,2.8478237417313483,4
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital_revDM-OTPP redline-3-10-2026_revDM02.docx,6,paragraph,chunk,34,7,0.1,2.448241439694765,13
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital_revDM-OTPP redline-3-10-2026_revDM02.docx,6,paragraph,sentence,9,10,0.0,3.8887755296814257,25
CI Definition Includes Discussion Existence,YellowstoneB2B-OTPP-03-06-2026 - Antares Capital_revDM-OTPP redline-3-10-2026_revDM02.docx,6,sentence,chunk,34,7,0.1,2.59689833667103,15
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,24,10,0.2,0.959101301138309,5
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,5,1,0.2,1.840683514401076,5
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,5,1,0.2,1.938642657152997,6
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,24,7,0.1,3.6174573852839607,16
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,paragraph,5,2,0.2,2.0397104629166667,15
CI Definition Includes Third Party Info,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,sentence,5,6,0.2,1.6218908743178981,12
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,40,10,0.2,2.801601435135333,15
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,5,2,0.2,4.633472288577871,12
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,sentence,5,3,0.2,4.0668835835890365,9
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,chunk,40,8,0.2,2.9010748445005787,9
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,paragraph,5,2,0.2,2.413707219000378,9
CI Definition Includes Third Party Info,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,sentence,5,1,0.1,1.3567650791414663,9
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,37,10,0.2,1.3449555570002965,5
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,5,2,0.2,0.47019470327623103,3
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,5,2,0.2,0.49728649545985076,3
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,37,7,0.1,3.573219080196625,16
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,5,2,0.2,2.006297296310336,12
CI Definition Includes Third Party Info,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,5,6,0.2,1.5970339184196778,11
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,chunk,38,10,0.2,2.513214305365605,12
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,paragraph,5,2,0.2,1.0811626154406084,5
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,sentence,5,3,0.2,3.3938037751011683,8
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,chunk,38,3,0.1,3.3531019159226165,14
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,paragraph,5,3,0.1,2.177682948951701,12
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,sentence,5,1,0.1,0.9788977774180889,7
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,23,10,0.2,2.0865234753006283,14
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,4,2,0.2,4.34508258318508,12
